           tweet_id                                                                                                                                                                                                                                                                                                               text
1575834054905462784                                                                                                👏Footage of a Russian tank being knocked out by Ukrainian forces in Ol'hivka, Kharkiv Oblast.\n#Russian #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #RussiaIsATerroristStateR https://t.co/YMADdnvXWQ
1575753840233701376                                                                                                                                                                                                                      #Ukraine's Kraken working.\nMinus #Russian tank \n\n#UkraineRussiaWar https://t.co/5pPYSqWtyu
1575544454055723008                                                                                                                                                                             The Ukrainian army destroy Russian tank \n#Ukraine-#UkraineRussianWar -#UkraineWar -#UkraineRussiaWar-#Russian https://t.co/Cb43QT46y5
1575528927245770752                                                                                                                                                                                         Destroyed Ukrainian tank in the Kharkiv region.\n\n#Ukraine #Ukrainewar #UkraineRussiaWar #Kharkiv https://t.co/xt4JVrWchP
1575515970860650497                                                                                                                                                                 🇺🇦Trophy 2 Russian T-80 Tank.\n#Russian #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #RussiaIsATerroristState https://t.co/MKrFulLvIG
1575457761189679106                            #Russia #Ukraine #RussianArmy \nWhy the Russian 🪖 Army T-72 Tank is Worse Than You Think\n\n#Putin #Russian #RussiaUkraineWar #Russie #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA #Russians #NATO\nhttps://t.co/XZU7FNTK4k
1575448045457707009                                                                                                                         Ukrainian MT-LB along with military personnel was blown up by an anti-tank mine in the Kharkiv direction.\n\n#Ukraine #Ukrainewar #UkraineRussiaWar #MTLB #Kharkiv https://t.co/1oBT6wXfPl
1575435463682363392                                                                                                                                      In the Kharkiv region, the air reconnaissance of the State Border Service eliminated a tank, a Tigr armored vehicle and two trucks\n#UkraineRussiaWar https://t.co/T5j1LSXGDt
1575359229418172416                                                                                                       10 Russian soldiers killed after being ambushed by Ukrainian troops in kharkiv region.\n#Russians #Russia #Ukraine #Ukrainian #UkraineWar #UkraineRussiaWar #RussiaIsATerroristState https://t.co/H0p7mrlAv5
1575215511235096576 Russian troops hit manufacturing workshops of an armoured vehicle plant near Kharkiv that storaged over 90 tanks and other vehicles of the AFU.\nAlso, a vehicle repairing point at EnergoMekhKomplekt plant was hit in  Zaporizhye, Russian MoD\n\n#Ukraine #Ukrainewar #UkraineRussiaWar https://t.co/2ECjOgXZuK
1575204498288816128                        "The Inside Story Of Ukraine’s Kharkiv Counteroffensive\nRussian-Ukraine #NATO Video Archive \n#Russia #Ukraine #Putin #Russian #Russie #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA #Biden #Russians \nhttps://t.co/RIo20dVex1
1575204441770594304                                                   "Video▶️Why the Russian 🪖 Army T-72 Tank is Worse Than You Think.\n#Russia #Ukraine #Putin #Russian #Russie #Ukrainian #UkraineRussiaWar #Russland #Kharkiv #Zelensky #UkraineWar #Kherson #RussianMobilization #USA #Russians #NATO\nhttps://t.co/XZU7FNUhTS\n"
1575187749447307265                                                                                                                                      Soldiers of the Ukrainian army seizing a Russian tank in the #Kharkiv region \n\n#Ukraine-#UkraineRussianWar -#UkraineWar -#UkraineRussiaWar-#Russian https://t.co/7zqjb8cYCE
